route,train,departure
L B5-2,3564,2023-01-02 13:14:00.000000 +00:00
IC 15,4914,2023-01-02 13:17:00.000000 +00:00
IC 12,414,2023-01-02 13:18:00.000000 +00:00
L A4-2,2664,2023-01-02 13:19:00.000000 +00:00
IC 18,2436,2023-01-02 13:20:00.000000 +00:00
L 13-1,5864,2023-01-02 13:21:00.000000 +00:00
L A3,2964,2023-01-02 13:24:00.000000 +00:00
IC 26,3237,2023-01-02 13:24:00.000000 +00:00
IC 05,4514,2023-01-02 13:24:00.000000 +00:00
L B20-2,6485,2023-01-02 13:25:00.000000 +00:00
L 36,1685,2023-01-02 13:27:00.000000 +00:00
L B8-1,3964,2023-01-02 13:27:00.000000 +00:00
L 13-2,5986,2023-01-02 13:32:00.000000 +00:00
L 31,4084,2023-01-02 13:34:00.000000 +00:00
L B5-2,3585,2023-01-02 13:34:00.000000 +00:00
IC 13,5136,2023-01-02 13:34:00.000000 +00:00
L B7,3464,2023-01-02 13:34:00.000000 +00:00
L B7,3485,2023-01-02 13:35:00.000000 +00:00
L 15,5586,2023-01-02 13:35:00.000000 +00:00
L A3,2985,2023-01-02 13:35:00.000000 +00:00
L A2,2364,2023-01-02 13:36:00.000000 +00:00
L B4,2186,2023-01-02 13:37:00.000000 +00:00
L B4,2164,2023-01-02 13:38:00.000000 +00:00
IC 26,3214,2023-01-02 13:38:00.000000 +00:00
IC 19-1,936,2023-01-02 13:38:00.000000 +00:00
L B8-1,3986,2023-01-02 13:39:00.000000 +00:00
IC 15,4935,2023-01-02 13:40:00.000000 +00:00
L B9,3264,2023-01-02 13:40:00.000000 +00:00
L 15,5564,2023-01-02 13:41:00.000000 +00:00
L B2-1,3686,2023-01-02 13:41:00.000000 +00:00
IC 19-1,914,2023-01-02 13:43:00.000000 +00:00
IC 13,5114,2023-01-02 13:43:00.000000 +00:00
IC 05,4536,2023-01-02 13:43:00.000000 +00:00
